"","respid","cell","rweight","tv","radio","ooh","online","social","sp_aw","relv","laugh","think","recom","talk","purchase","intent","ID","cluster"
"915",1306,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0,915,1
"916",1307,1,0.8112,0,0,0,0,1,0,1,1,0,1,1,1,1,916,5
"917",1308,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,0,1,917,1
"918",1309,1,0.9082,0,0,0,1,1,1,0,0,0,1,1,0,0,918,5
"919",1311,1,0.8112,0,0,0,0,0,0,0,0,0,1,0,1,0,919,1
"920",1312,1,0.8112,0,0,0,0,1,1,1,1,1,1,0,1,1,920,5
"921",1313,1,0.8112,0,0,1,1,0,0,0,0,0,1,0,0,1,921,2
"922",1315,1,1.2039,0,1,0,0,1,0,0,0,0,0,0,1,1,922,4
"923",1318,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0,923,1
"924",1319,1,0.8874,1,1,0,0,0,1,1,1,0,1,0,0,1,924,4
"925",1320,1,1.1108,0,0,0,0,0,0,1,0,1,1,0,0,1,925,1
"926",1321,1,0.9958,0,0,0,0,0,0,0,0,1,0,0,0,0,926,1
"927",1323,1,1.2667,0,0,0,0,0,0,1,1,1,0,0,0,0,927,1
"928",1326,1,0.8112,1,1,1,0,1,1,1,1,1,1,1,1,1,928,2
"929",1328,1,1.0301,1,0,0,1,0,0,1,1,1,1,1,1,1,929,5
"930",1330,1,1.3158,0,0,0,0,1,1,1,1,0,1,0,0,0,930,5
"931",1332,1,0.8874,0,0,0,0,1,0,1,1,0,1,1,1,1,931,5
"932",1334,1,1.3158,0,0,0,0,0,0,1,1,1,0,0,0,0,932,1
"933",1337,1,0.9082,0,0,0,0,0,1,1,1,0,0,0,0,1,933,1
"934",1340,1,2.0028,0,0,0,0,0,0,1,1,1,1,0,0,0,934,1
"935",1341,1,0.8112,1,0,0,0,1,1,1,1,1,1,1,0,1,935,5
"936",1343,1,0.9958,0,0,0,0,0,0,1,1,0,1,0,0,1,936,1
"937",1344,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0,937,1
"938",1345,1,2.0775,0,0,0,0,0,1,1,1,1,1,1,0,1,938,1
"939",1346,1,1.1108,0,0,0,0,0,0,1,1,1,1,0,0,0,939,1
"940",1346,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,0,0,940,1
"941",1348,1,1.2667,0,0,0,0,0,1,1,1,1,1,1,1,1,941,1
"942",1350,2,1.4057,0,0,0,0,0,1,1,1,1,1,1,0,1,942,1
"943",1351,1,0.8112,1,0,0,0,0,0,1,1,1,1,1,1,1,943,3
"944",1352,1,0.8112,1,0,0,0,0,0,0,0,1,0,1,1,1,944,3
"945",1354,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1
"946",1355,2,0.9355,1,0,1,0,0,0,1,1,0,0,0,1,0,946,2
"947",1357,1,1.0301,1,0,0,0,0,0,1,1,1,1,0,0,1,947,3
"948",1358,1,1.2039,0,0,0,0,0,0,0,1,0,0,0,0,0,948,1
"949",1360,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,1,0,949,1
"950",1361,1,1.0962,1,1,0,0,0,0,1,1,0,1,0,0,0,950,4
"951",1362,1,0.9082,1,1,0,0,0,1,1,1,1,1,1,1,1,951,4
"952",1363,1,0.9082,0,0,0,0,0,1,1,1,1,1,1,0,1,952,1
"953",1371,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0,953,1
"954",1372,1,1.224,1,0,0,0,1,1,0,0,0,0,0,0,0,954,5
"955",1373,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,1,955,1
"956",1376,1,2.0775,0,0,0,0,0,1,1,1,1,1,1,0,0,956,1
"957",1378,1,1.2667,0,0,0,0,0,1,1,1,1,1,1,0,1,957,1
"958",1380,1,0.9082,0,0,0,1,1,1,1,1,1,1,1,1,1,958,5
"959",1383,1,0.9082,0,0,0,0,1,1,1,1,1,1,1,1,0,959,5
"960",1385,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,1,1,960,1
"961",1390,1,1.2667,0,0,0,0,0,1,1,1,1,1,1,0,1,961,1
"962",1393,1,1.3158,0,0,0,0,0,0,0,0,0,1,0,0,0,962,1
"963",1397,1,0.5486,0,0,0,0,0,0,0,1,1,1,1,0,1,963,1
"964",1398,1,1.2667,0,0,0,0,0,0,0,1,0,1,0,0,1,964,1
"965",1399,2,0.6657,0,0,0,0,1,0,0,1,0,1,0,1,0,965,5
"966",1407,1,1.0913,0,0,0,0,0,0,0,0,1,0,0,0,0,966,1
"967",1408,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0,967,1
"968",1412,1,0.9082,0,1,1,1,1,0,1,1,1,1,0,0,1,968,2
"969",1425,1,1.224,0,0,0,0,0,0,0,0,1,1,1,0,0,969,1
"970",1428,1,1.2667,0,0,0,0,0,1,1,1,1,1,1,1,1,970,1
"971",1429,1,1.0913,0,0,0,0,0,0,0,1,0,0,0,0,0,971,1
"972",1432,1,0.5486,0,0,0,0,0,0,1,1,0,0,0,0,0,972,1
"973",1433,1,2.0775,0,0,0,0,0,0,0,0,0,1,0,1,0,973,1
"974",1434,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0,974,1
"975",1436,1,1.3158,1,1,1,0,0,0,0,0,0,0,0,0,1,975,2
"976",1438,2,0.7923,0,0,1,1,1,0,0,0,0,0,0,0,1,976,2
"977",1442,1,1.2667,0,0,0,0,0,1,1,1,1,1,0,0,0,977,1
"978",1444,1,1.224,0,0,0,0,1,0,0,0,0,0,0,1,1,978,5
"979",1458,1,0.9082,1,1,1,1,1,0,1,1,1,1,1,1,1,979,2
"980",1459,1,0.9082,1,0,0,0,0,0,0,1,1,0,1,1,1,980,3
"981",1461,3,0.7051,1,1,0,0,1,0,1,1,1,1,1,0,1,981,4
"982",1462,2,0.7762,1,0,0,1,1,0,1,1,1,1,1,1,1,982,5
"983",1463,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0,983,1
"984",1464,2,0.6657,0,0,0,0,0,1,1,1,1,1,1,1,1,984,1
"985",1465,2,0.9598,0,0,0,0,0,0,0,1,0,0,0,0,0,985,1
"986",1468,1,1.0301,0,0,0,0,1,0,0,0,0,0,0,0,0,986,5
"987",1470,1,1.224,0,1,0,0,0,0,0,0,0,0,0,1,1,987,4
"988",1472,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,1,988,1
"989",1478,2,0.9355,0,0,0,0,1,0,0,1,1,1,0,0,0,989,5
"990",1485,1,0.9082,0,0,1,1,0,1,1,1,0,1,1,1,0,990,2
"991",1488,1,0.9082,1,0,1,1,0,0,0,0,0,1,0,0,1,991,2
"992",1491,1,1.0301,1,0,0,1,1,0,1,1,1,1,1,1,1,992,5
"993",1495,1,1.224,0,0,0,1,0,0,0,0,0,0,0,0,1,993,5
"994",1496,2,0.8488,0,0,0,0,0,0,0,0,0,0,0,0,0,994,1
"995",1504,1,0.9082,1,1,0,0,0,1,1,1,1,1,1,1,1,995,4
"996",1511,2,1.2488,0,0,0,0,0,0,1,0,1,1,0,0,0,996,1
"997",1512,1,1.3158,1,1,1,1,1,0,0,0,0,0,0,1,0,997,2
"998",1515,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,998,1
"999",1517,2,1.1589,1,0,0,0,0,0,0,0,0,0,0,0,1,999,3
"1000",1520,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1
"1001",1521,3,1.9541,0,0,0,0,0,0,1,1,1,1,1,0,1,1001,1
"1002",1523,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1
"1003",1525,3,1.1773,1,0,0,1,0,0,0,0,0,0,0,0,0,1003,5
"1004",1526,3,0.8294,1,1,0,1,0,0,0,0,1,1,1,1,1,1004,4
"1005",1527,4,2.134612014,0,0,0,0,0,0,0,0,0,1,0,0,0,1005,1
"1006",1529,3,0.966,0,1,0,0,1,0,0,0,0,0,0,1,0,1006,4
"1007",1530,1,1.224,0,0,0,0,0,0,0,0,0,0,0,0,1,1007,1
